SPONSORED BY GRASSROOTS ANALYTICS,,,,,,,,,,,,,,,,
Calculated by The Downballot,,,,Subscribe to our newsletter,,,,,,,Follow @the-downballot.com on Bluesky,,,,,
District,Incumbent,Party,,2024,,,,,,,2020,,,,,
,,,,Harris,Trump,Total,Harris %,Trump %,Margin,,Biden,Trump,Total,Biden %,Trump %,Margin
CA-23,Jay Obernolte,(R),,"108,128","161,911","277,288",38.99%,58.39%,-19.40%,,,,,,,
CA-24,Salud Carbajal,(D),,"214,293","126,559","351,804",60.91%,35.97%,24.94%,,,,,,,
CA-25,Raul Ruiz,(D),,"140,058","124,338","270,412",51.79%,45.98%,5.81%,,,,,,,
CA-26,Julia Brownley,(D),,"193,294","140,781","343,771",56.23%,40.95%,15.28%,,,,,,,
CA-27,George Whitesides,(D),,"158,101","129,273","296,345",53.35%,43.62%,9.73%,,,,,,,
CA-28,Judy Chu,(D),,"199,379","116,724","326,913",60.99%,35.70%,25.28%,,,,,,,
CA-29,Luz Rivas,(D),,"156,025","75,625","239,016",65.28%,31.64%,33.64%,,,,,,,
CA-30,Laura Friedman,(D),,"233,119","96,524","341,310",68.30%,28.28%,40.02%,,,,,,,
CA-31,Gil Cisneros,(D),,"159,494","123,786","292,043",54.61%,42.39%,12.23%,,,,,,,
CA-32,Brad Sherman,(D),,"219,603","129,673","359,755",61.04%,36.04%,25.00%,,,,,,,
CA-33,Pete Aguilar,(D),,"132,891","108,565","248,705",53.43%,43.65%,9.78%,,,,,,,
CA-34,Jimmy Gomez,(D),,"156,729","48,090","214,525",73.06%,22.42%,50.64%,,,,,,,
CA-35,Norma Torres,(D),,"136,179","115,899","259,995",52.38%,44.58%,7.80%,,,,,,,
CA-36,Ted Lieu,(D),,"261,912","111,107","385,621",67.92%,28.81%,39.11%,,,,,,,
CA-37,Sydney Kamlager-Dove,(D),,"184,950","42,949","235,124",78.66%,18.27%,60.39%,,,,,,,
CA-38,Linda Sanchez,(D),,"142,634","110,393","261,716",54.50%,42.18%,12.32%,,,,,,,
CA-39,Mark Takano,(D),,"125,382","103,042","235,647",53.21%,43.73%,9.48%,,,,,,,
CA-40,Young Kim,(R),,"161,640","208,262","381,211",42.40%,54.63%,-12.23%,,,,,,,
CA-41,Ken Calvert,(R),,"172,854","128,694","311,081",55.57%,41.37%,14.20%,,,,,,,
CA-42,Robert Garcia,(D),,"192,323","146,391","349,703",55.00%,41.86%,13.13%,,,,,,,
CA-43,Maxine Waters,(D),,"162,845","53,434","223,448",72.88%,23.91%,48.96%,,,,,,,
CA-44,Nanette Barragan,(D),,"145,093","67,784","219,843",66.00%,30.83%,35.17%,,,,,,,
CA-45,Derek Tran,(D),,"151,772","139,943","300,410",50.52%,46.58%,3.94%,,,,,,,
CA-46,Lou Correa,(D),,"128,647","91,851","227,640",56.51%,40.35%,16.16%,,,,,,,
CA-47,Dave Min,(D),,"190,293","154,229","357,880",53.17%,43.10%,10.08%,,,,,,,
CA-48,Darrell Issa,(R),,"165,733","154,575","328,887",50.39%,47.00%,3.39%,,,,,,,
CA-49,Mike Levin,(D),,"211,077","164,262","386,796",54.57%,42.47%,12.10%,,,,,,,
CA-50,Scott Peters,(D),,"214,644","146,603","372,726",57.59%,39.33%,18.26%,,,,,,,
CA-51,Sara Jacobs,(D),,"205,156","140,215","355,711",57.68%,39.42%,18.26%,,,,,,,
CA-52,Juan Vargas,(D),,"156,713","108,809","272,674",57.47%,39.90%,17.57%,,,,,,,
CO-01,Diana DeGette,(D),,"280,661","75,479","365,908",76.70%,20.63%,56.07%,,"315,904","72,379","397,310",79.51%,18.22%,61.29%
CO-02,Joe Neguse,(D),,"295,692","123,973","431,634",68.51%,28.72%,39.78%,,"306,400","128,491","446,260",68.66%,28.79%,39.87%
CO-03,Jeff Hurd,(R),,"178,501","218,065","406,672",43.89%,53.62%,-9.73%,,"184,181","218,187","412,128",44.69%,52.94%,-8.25%
CO-04,Lauren Boebert,(R),,"182,901","267,114","461,367",39.64%,57.90%,-18.25%,,"174,553","256,585","442,183",39.48%,58.03%,-18.55%
CO-05,Jeff Crank,(R),,"165,522","199,615","375,301",44.10%,53.19%,-9.08%,,"160,880","198,614","373,408",43.08%,53.19%,-10.11%
CO-06,Jason Crow,(D),,"210,533","139,305","360,149",58.46%,38.68%,19.78%,,"232,517","141,195","383,771",60.59%,36.79%,23.80%
CO-07,Brittany Pettersen,(D),,"249,924","183,164","445,524",56.10%,41.11%,14.98%,,"256,166","190,987","459,940",55.70%,41.52%,14.17%
CO-08,Gabe Evans,(R),,"164,425","170,726","344,318",47.75%,49.58%,-1.83%,,"173,751","158,170","341,951",50.81%,46.26%,4.56%
CT-01,John Larson,(D),,"208,405","129,726","343,851",60.61%,37.73%,22.88%,,"227,830","126,759","359,895",63.30%,35.22%,28.08%
